


As of:;Nov 07, 2024


Effective date ;S&P 500 (TR)
02/07/2018;5367.49
03/07/2018;5340.93
05/07/2018;5388.28
06/07/2018;5434.36
09/07/2018;5483.89
10/07/2018;5503.05
11/07/2018;5464.01
12/07/2018;5512.36
13/07/2018;5518.33
16/07/2018;5512.92
17/07/2018;5534.91
18/07/2018;5546.86
19/07/2018;5525.51
20/07/2018;5520.5
23/07/2018;5530.66
24/07/2018;5557.37
25/07/2018;5607.99
26/07/2018;5590.99
27/07/2018;5554.31
30/07/2018;5522.81
31/07/2018;5549.96
01/08/2018;5544.19
02/08/2018;5572.08
03/08/2018;5598.71
06/08/2018;5619.05
07/08/2018;5634.98
08/08/2018;5633.67
09/08/2018;5627
10/08/2018;5588.66
13/08/2018;5566.36
14/08/2018;5602.41
15/08/2018;5560.85
16/08/2018;5606.56
17/08/2018;5625.66
20/08/2018;5639.53
21/08/2018;5651.39
22/08/2018;5649.31
23/08/2018;5640.1
24/08/2018;5675.12
27/08/2018;5719.3
28/08/2018;5720.89
29/08/2018;5754
30/08/2018;5729.45
31/08/2018;5730.8
04/09/2018;5721.86
05/09/2018;5705.86
06/09/2018;5686.7
07/09/2018;5674.58
10/09/2018;5685.34
11/09/2018;5706.99
12/09/2018;5709.08
13/09/2018;5740.75
14/09/2018;5743.19
17/09/2018;5711.29
18/09/2018;5742.18
19/09/2018;5749.39
20/09/2018;5794.72
21/09/2018;5792.72
24/09/2018;5772.36
25/09/2018;5765.25
26/09/2018;5746.27
27/09/2018;5763.22
28/09/2018;5763.42
01/10/2018;5784.45
02/10/2018;5782.37
03/10/2018;5786.48
04/10/2018;5740.56
05/10/2018;5708.9
08/10/2018;5706.66
09/10/2018;5700.23
10/10/2018;5512.94
11/10/2018;5399.54
12/10/2018;5476.83
15/10/2018;5444.61
16/10/2018;5561.8
17/10/2018;5560.62
18/10/2018;5481.13
19/10/2018;5479.3
22/10/2018;5455.88
23/10/2018;5426.08
24/10/2018;5258.61
25/10/2018;5356.54
26/10/2018;5263.74
29/10/2018;5229.28
30/10/2018;5311.67
31/10/2018;5369.49
01/11/2018;5426.33
02/11/2018;5392.53
05/11/2018;5422.88
06/11/2018;5457.25
07/11/2018;5573.06
08/11/2018;5562
09/11/2018;5511.79
12/11/2018;5403.19
13/11/2018;5395.37
14/11/2018;5355.94
15/11/2018;5414.43
16/11/2018;5426.86
19/11/2018;5336.7
20/11/2018;5240.23
21/11/2018;5256.61
23/11/2018;5222.43
26/11/2018;5304.17
27/11/2018;5321.52
28/11/2018;5444.12
29/11/2018;5433.49
30/11/2018;5478.91
03/12/2018;5538.86
04/12/2018;5359.91
06/12/2018;5353.43
07/12/2018;5229.44
10/12/2018;5238.7
11/12/2018;5237.1
